ID,Name,Height,Weight,Age,Sex,Profession,Salary
0,Горшков Бенедикт,186.0,78.0,71,м,продавец,310000
1,Суворов Эрик,182.0,117.0,80,м,сантехник,61000
2,Воронов Модест,192.0,55.0,27,м,преподаватель,266000
3,Гусев Макар,193.0,116.0,68,м,продавец,240000
4,Соболев Фёдор,165.0,84.0,67,м,автослесарь,226000
5,Крюков Макар,189.0,109.0,45,м,врач,47000
6,Мухин Евстахий,183.0,55.0,42,м,студент,258000
7,Яковлев Федот,184.0,53.0,18,м,сантехник,49000
8,Меркушев Валентин,168.0,77.0,69,м,преподаватель,343000
9,Петухов Мирон,174.0,71.0,51,м,сантехник,293000
10,Бобылёв Зиновий,176.0,89.0,80,м,студент,427000
11,Фомичёв Михаил,,84.0,74,м,автослесарь,233000
12,Мясников Серафим,,114.0,44,м,бухгалтер,283000
13,Васильев Никола,176.0,55.0,35,м,студент,41000
14,Павлов Степан,166.0,108.0,37,м,сантехник,316000
15,Нестеров Юрий,176.0,116.0,40,м,инженер,186000
16,Хохлов Остап,171.0,65.0,60,м,врач,420000
17,Лаврентьев Данил,165.0,113.0,70,м,инженер,460000
18,Борисов Аполлинарий,194.0,88.0,37,м,врач,13000
19,Кудряшов Федот,178.0,,75,м,программист,96000
20,Романов Август,189.0,114.0,52,м,бухгалтер,29000
21,Кузьмин Эдуард,,97.0,81,м,продавец,250000
22,Котов Ринат,182.0,53.0,63,м,врач,425000
23,Третьяков Гордей,176.0,116.0,58,м,сантехник,141000
24,Ермаков Кирилл,168.0,119.0,50,м,врач,130000
25,Зуев Филипп,165.0,82.0,19,м,студент,481000
26,Силин Ждан,179.0,64.0,31,м,студент,307000
27,Ларионов Артур,172.0,65.0,66,м,студент,170000
28,Щербаков Зиновий,167.0,51.0,49,м,преподаватель,431000
29,Пестов Арсений,186.0,54.0,77,м,программист,479000
30,Громов Остап,173.0,61.0,36,м,автослесарь,22000
31,Шаров Ждан,165.0,68.0,62,м,программист,421000
32,Смирнов Феликс,178.0,107.0,79,м,продавец,282000
33,Зайцев Павел,194.0,107.0,36,м,студент,487000
34,Воробьёв Прохор,172.0,115.0,21,м,бухгалтер,275000
35,Владимиров Константин,194.0,77.0,22,м,инженер,22000
36,Овчинников Илья,175.0,84.0,21,м,сантехник,433000
37,Якушев Платон,166.0,98.0,80,м,автослесарь,341000
38,Сафонов Ян,172.0,90.0,64,м,бухгалтер,261000
39,Фокин Никанор,173.0,50.0,19,м,врач,62000
40,Маслов Климент,166.0,91.0,64,м,сантехник,263000
41,Лебедев Вячеслав,171.0,102.0,77,м,продавец,11000
42,Фомичёв Владимир,177.0,108.0,62,м,инженер,199000
43,Журавлёв Всеволод,180.0,74.0,69,м,студент,53000
44,Зуев Давид,186.0,82.0,41,м,бухгалтер,118000
45,Аксёнов Максим,168.0,110.0,26,м,программист,56000
46,Агафонов Ждан,169.0,,53,м,врач,401000
47,Бирюков Давид,186.0,,69,м,врач,319000
48,Матвеев Дамир,170.0,106.0,25,м,автослесарь,131000
49,Самойлов Потап,175.0,104.0,72,м,студент,118000
50,Ситников Иеремия,184.0,73.0,74,м,преподаватель,361000
51,Крылов Самсон,192.0,77.0,40,м,автослесарь,279000
52,Константинов Никодим,191.0,90.0,35,м,студент,231000
53,Якушев Ренат,171.0,114.0,86,м,бухгалтер,187000
54,Стрелков Лукьян,,66.0,26,м,врач,455000
55,Белозёров Ярослав,173.0,105.0,61,м,бухгалтер,43000
56,Шилов Андрей,,84.0,55,м,преподаватель,454000
57,Сергеев Кондрат,180.0,119.0,41,м,программист,394000
58,Доронин Мартын,190.0,118.0,19,м,программист,347000
59,Фролов Ефим,,114.0,67,м,преподаватель,210000
60,Константинов Никон,178.0,,79,м,продавец,195000
61,Пахомов Николай,180.0,67.0,58,м,программист,46000
62,Наумов Августин,194.0,88.0,71,м,продавец,102000
63,Зыков Болеслав,187.0,74.0,34,м,бухгалтер,421000
64,Исаев Августин,179.0,82.0,71,м,преподаватель,460000
65,Белов Савва,189.0,112.0,54,м,бухгалтер,301000
66,Крюков Макарий,182.0,75.0,21,м,бухгалтер,156000
67,Киселёв Марк,186.0,87.0,89,м,сантехник,337000
68,Матвеев Филат,165.0,107.0,53,м,инженер,233000
69,Селиверстов Сидор,189.0,93.0,77,м,инженер,24000
70,Кошелев Архип,171.0,50.0,73,м,продавец,487000
71,Уваров Семён,166.0,115.0,55,м,врач,299000
72,Филатов Леонид,179.0,59.0,88,м,инженер,71000
73,Никитин Артемий,166.0,,88,м,преподаватель,259000
74,Яковлев Савва,165.0,60.0,22,м,студент,65000
75,Кабанов Антоний,172.0,50.0,32,м,инженер,452000
76,Игнатов Анастасий,186.0,76.0,71,м,продавец,381000
77,Горбунов Самсон,165.0,58.0,42,м,студент,418000
78,Беляев Леонтий,171.0,91.0,26,м,студент,445000
79,Галкин Харитон,,70.0,36,м,сантехник,65000
80,Ефремов Марк,184.0,79.0,33,м,врач,162000
81,Родионов Данислав,191.0,108.0,47,м,бухгалтер,105000
82,Хохлов Тарас,179.0,93.0,55,м,преподаватель,364000
83,Ершов Терентий,174.0,107.0,66,м,инженер,200000
84,Родионов Митрофан,184.0,112.0,45,м,врач,444000
85,Ильин Фаддей,178.0,52.0,86,м,бухгалтер,462000
86,Панов Вениамин,174.0,88.0,46,м,студент,350000
87,Титов Влас,176.0,99.0,48,м,преподаватель,352000
